restaurant_name,clean_review,confidence_score
Adana Dostlar kebapcısı,Mardin tabağını deneyin efsaneydi Yemeklerimiz güzel geldi biz mardin tabağını tercih ettik turla gittiğimiz bir yerdi yöresel lezzetleri güzeldi tabak doyurucuydu,19.047619047619047
Adana Dostlar kebapcısı,Dostlar Tur şirketlerinin götürdüğü bir nevi halk aş evi niteliğinde bir yer kalabalık tam anlamıyla doymuş ve müşteri memnuniyetini önemsemeyen bir işletme verilen parayı hak etmeyen bir yer buraya gideceğinize karşı marketten kraker ayran yiyin derim kendiniz karar verin benden bu kadar,2.380952380952381
Adana Dostlar kebapcısı,En kotu deneyim Turla birlikte öğlen yemeği icin gittik ve inanilmaz kotuydu hersey Porsiyonlar cok kucuk asiri pahali ve personel oldukca kabaydi Cok kotu bir deneyimdi ve hicbir zaman tercih etmem,3.225806451612903
Adana Dostlar kebapcısı,Vasat Bi Urfa Adana Antep te yerdiğiniz yemeğinin tadını kesinlikle bulamıyorsunuz ama fiyat olarak daha gazla ücret talep ediyor,0.0
Adana Dostlar kebapcısı,Berbat Mardin e özgü yemekler için tercih ettik ama güneydoğuda yediğimiz en kötü yemekti Mardin tabağı görseldekinin aksine çok küçük ve hiç doyurucu değil İçle köfte yenilecek gibi değildi Tabaktaki herşey soğuktu Sanırım önceden hazırlayıp kolay olsun diye müşteri geldiğinde getiriliyor Servis çok kötüydü Kasa da bile güler yüz yok Patronları ikinci salata yediniz mi diye sordu Esnaflık yok paranıza yazık etmeyin,9.67741935483871
Adana Dostlar kebapcısı,Mutlaka ugrayin Akdeniz yöresinde sogan ve Avrupada yasan cifler olarak 9 9 veriyoruz Esim ile bize lezzetli etleri ve mezeleri bize Hatay Adana Mardin mutfaklarini tadini yasatti Servisi ve personeli cok hos ve takdire deger bir sekilde güler yüzle düzenli uyguladilar Fiyatlarin eski Mardin de yedigimiz yemeklerden hem daha lezzetli bol hemde daha uygun Salata nin ve mezelerin bollugu ve tadlari eski mardindeki ucuk fiyatlardan ve masadaki azliklarindan bin kat daha iyi,2.7777777777777777
Adana Dostlar kebapcısı,Vasat Eşim ve bebeğimle şehirdışından geldik turlar ile anlaştıklarını ifade ettiler kapıdan geri çevirdiler boş masalar vardı nezaket misafirperverlik berbattı,10.0
Adana Dostlar kebapcısı,Bence Lezzet olarak kötü degildi 3 defa ekmek istedim gelmedi Porsiyonlar okadar küçükki resimde gözüktüğü gibi degil kesinlikle Mardin kebabı geliyor 1 şişi 3 paraya bölmüşler Uygun felan da degil 280 TL idi Bence gelinmez,2.857142857142857
Adana Dostlar kebapcısı,Tavsiye Etmiyorum Öncelikle turla katılmış olduğumuz için bizi kısıtlı bir alana oturmak zorunda bıraktılar Sipariş takibi yapmakta zorlanıyorlar getirdikleri tabak masa masa dolaştı sahibini bulana kadar bizim sipariş ettiğimiz pideyi unuttukları için hatırlattıktan sonra yapıp getirdiler Ürünler fena değildi ama servis ve fiyat politikası kötü Meni listesinde su içecek ve salata menüye dahil görünmesine rağmen her birinden ayrı ücret aldılar Bu nedenle yüksek hesap ödemek zorunda kaldık Turdaki herkes memnuniyetsizliğini tur görevlilerine de söyledi Tuvaletlerde hijyen sıfır Çöpler her yerdeydi Asla tavsiye etmiyorum,1.2048192771084338
Adana Dostlar kebapcısı,Hizmetiniz için çok teşekkürler adana Yediğim en iyi adana dürümü tavsiye ederim aile için çok iyi bı restoran çok güzel teşekkürler adana dostlar kebapçısı,16.666666666666664
Adana Dostlar kebapcısı,Böyle rezillik başka yerde yok İnsanlar aileleri ile birlikte bir restoranda gittiği zaman sıcak yemekler yemek ister ama sağolsunlar onu bile zindan ettiler Lahmacun istiyoruz soğuk olarak getiriyorlar ve restortantta 3 masa tek doluydu herhangi bir yoğunluk olsaydı soğuk gelmesini anlardım Üstüne üstlük ezme salata istedim hemde tam 3 defa söyledim Ona rağmen adamlar getirmedi Umursuzluk seviyeleri tavan yapmış bu restorantın Aile ve tur hiç farketmez hangisi olursa olsun sinir krizi ve rezillik yaşamak istemiyorsaniz sakın gitmeyin,2.5974025974025974
Adana Dostlar kebapcısı,Fena sayilmaz Yemekler fena degil lezzetli sayilir ama dolmasi zayifti ayrica turla geldik diye cay ikram etmediler biraz kaba davrandilar,5.0
Adana Dostlar kebapcısı,Temiz ve lezzetli Mardine gitme sebebiniz ne olursa olsun içiniz rahat yemek yiyebileceğiniz yerlerin en başında geliyor nezih ortamı güler yüzlü personeli ile tam ğuan,16.0
